;274768;
Глобальная и локальная систолическая функция ЛЖ не нарушена;627;
пульмональная регургитация;586;
Умеренная дилатация левого предсердия;578;
Снижение глобальной сократительной способности правого желудочка не выявлено TAPSE;551;
ритм фибрилляция предсердий;546;
Створки аортального;545;
Пульмональная регургитация приклапанная;542;
ОТС;542;
Расчетное систолическое давление в легочной артерии легко повышено;537;
створки не изменены;523;
Аортальная регургитация приклапанная;508;
Стенки его не утолщены;499;
масса миокарда повышена концентрическая гипертрофия ЛЖ;497;
Аорта в восходящем отделе и на уровне дуги не расширена;496;
Выраженная дилатация левого предсердия;494;
Стенки его легко утолщены;471;
створки фрагментарно кальцинированы Ve;462;
Миокард левого желудочка не утолщен;458;
створки не изменены регургитация приклапанная dPtr;456;
Камеры сердца не расширены;437;
норма;431;
Глобальная сократительная функция ЛЖ не снижена;407;
без особенностей;402;
г м;398;
х;398;
Перикард не изменен;397;
МПП;391;
МНедст;390;
Аортальная регургитация;390;
до;389;
Расчетное систолическое давление в легочной артерии повышено;387;
Перикард;376;
Значимых клапанных регургитаций не выявлено;375;
не изменены;371;
МЖП визуализируются на всем протяжении;367;
смс;360;
Дилатация правого предсердия;360;
масса миокарда не повышена;358;
Давление в легочной артерии по ТР определить не удалось;357;
Снижения глобальной сократительной способности правого желудочка не выявлено TAPSE;356;
мсек;354;
митрального клапанов уплотнены;349;
гм;345;
Диастолическая дисфункция ЛЖ по ригидному типу;344;
створки значительно уплотнены Vmax;337;
Диастолическая функция ЛЖ сохранена;322;
Кровоток на АК не ускорен;322;
Стенки ЛЖ не утолщены;319;
Диастолическая дисфункция ЛЖ по ригидному типу нарушение релаксации;318;
Глобальная систолическая функция ЛЖ не нарушена;318;
на вдохе спадается %;317;
Камеры не расширены;313;
Миокард не утолщен;312;
Остальные клапаны – без особенностей;311;
Ао;306;
МН;304;
створки не изменены регургитация приклапанная;302;
ЧСС ритм фибрилляция предсердий;299;
Короткий протокол с целью оценки полости перикарда;299;
кв;298;
Легочная артерия расширена;297;
смсек;297;
Фракция выброса ЛЖ;294;
см Задняя стенка ЛЖ —;292;
Перикард – без патологии;292;
% по Simpson;291;
Левый желудочек диастола—;289;
см МЖП —;288;
АоК функционирует нормально;287;
мс TR p;286;
Площадь правого предсердия –;285;
Правый желудочек не расширен;284;
ЛЖ не расширен;283;
Систолическое давление в ЛА не повышено;282;
ПЖ на уровне базальных сегментов –;281;
см Размер ПП;281;
см ПЖ продольный размер –;278;
см ПЖ на уровне срединных сегментов –;278;
аневризма;278;
мс DecTime;273;
млм;266;
акинезия дискинезия;265;
норма гипокинезия;265;
Кинетика миокарда;265;
перикард;265;
Клапанный аппарат;265;
невозможно оценить;265;
Правый желудочек парастернальная продольная позиция —;264;
мс MVEMVA –;264;
Стенки его утолщены;255;
Полости сердца не расширены;252;
Ve;247;
см Вес;247;
Заключение;246;
убедительных признаков ЛГ не выявлено;241;
АК;241;
Допплер КГ митральная регургитация;241;
Систолическая функция ПЖ не снижена TAPSE;239;
см сепарация створок — см Восходящий отдел аорты —;238;
TAPSE;237;
Короткий протокол;237;
Стенки аорты;237;
Митральный клапан не изменен;236;
створки значительно уплотнены Ve;235;
Легкая дилатация левого предсердия;231;
Диастолическая дисфункция за счет нарушения релаксации;230;
Стенки аорты склерозированы;230;
ЛГ;230;
кинетика диффузная гипокинезия;226;
Выносящий тракт ПЖ дистальный размер –;225;
ЧСС удв мин;225;
Лёгочная артерия –;219;
створки кальциноз Vmax;219;
Сократимость ПЖ по данным TDI TAVS;219;
Индекс массы миокарда —;218;
PV –;215;
кг ИМТ кгм Дата исследования;211;
Аортальной регургитации нет;211;
BSA;210;
Легочный ствол не расширен;209;
мс AV –;209;
м кв;209;
Площадь поверхности тела;209;
в мин;208;
Диастолическая дисфункция ПЖ;208;
Систолическая функция ПЖ не нарушена TAPSE;206;
см Объем ЛП —;206;
Створки митрального клапана не изменены;204;
мл Размер ЛП;201;
Мкольцо;199;
Глобальная систолическая функция ЛЖ сохранена;199;
створки уплотнены;197;
верхушки;196;
Желудочки не расширены;196;
Патологические образования в полостях и на клапанах сердца не визуализируются;196;
типа нарушение релаксации;195;
Диастолическая дисфункция ЛЖ по псевдонормальному типу;194;
Миокард утолщен;194;
степени по типу нарушения расслабления;193;
Створки митрального клапана уплотнены;193;
мм рт ст;192;
Лёгкая дилатация левого предсердия;189;
удмин;189;
ERO;188;
Патологическое шунтирование кровотока не выявлено;188;
остальные камеры сердца не расширены;187;
митральная регургитация;187;
бо;185;
ммртст;185;
м Рост;185;
митрального;184;
Левый желудочек не увеличен;184;
Митральная и трикуспидальная регургитация;184;
НПВ исходно — не широкая;183;
СДЛА не повышено;181;
Выраженная дилатация ЛП;175;
нарушение релаксации;175;
Аок функционирует нормально;172;
без значимых колебаний на всем протяжении;171;
Миокард ЛЖ не утолщен;170;
Короткий протокол с целью оценки жидкости в полости перикарда;170;
мс норма мс;170;
Стенки ЛЖ легко утолщены;169;
МК умеренно уплотнены створки;167;
желудочки не расширены;167;
Sобразный изгиб;166;
Расчетное СДЛА;166;
S;166;
Аорта в восходящем отделе не расширена;165;
Аортальный клапан не изменен;165;
Давление в легочной артерии не повышено;164;
Стенки ЛЖ утолщены;164;
утолщены створки митрального клапана;163;
масса миокарда повышена эксцентрическая гипертрофия ЛЖ;162;
Миокард левого желудочка легко утолщен;161;
на вдохе спадается;161;
Остальные камеры сердца не расширены;161;
Пульмональная регургитация;160;
Нижняя полая вена не расширена;160;
Умеренно расширено ЛП;159;
степени Vena contracta;159;
створки уплотнены регургитация;159;
Аополулуния уплотнены;159;
Короткий протокол исследования с целью оценки полости перикарда;158;
Ts max Ts min;158;
Давление в легочной артерии не определяется;157;
Объем ЛЖ в диастолу — мл Объем ЛЖ в систолу —;157;
ТН;157;
смс сохранена;157;
Кровоток на клапанах не ускорен;156;
ТрК без особенностей;156;
Расчетное систолическое давление в легочной артерии умеренно повышено;155;
створки уплотнены Vmax;153;
Масса миокарда не повышена;152;
Дилатация левого желудочка;152;
Восходящий отдел аорты не расширен;151;
гм ОТС;150;
Короткий протокол исследования с целью оценки систолической функции ЛЖ;150;
Нарушение расслабления миокарда ЛЖ;150;
МК;148;
Аорта уплотнена;146;
Створки аортального клапана и митрального клапанов неравномерно уплотнены;146;
Миокард ЛЖ утолщен;144;
Диастолическая дисфункция ЛЖ по рестриктивному типу;144;
S';144;
Допплер КГ Митральная регургитация;142;
Значимая клапанная регургитация не выявлена;142;
Диастолическая функция ЛЖ не нарушена;142;
SD;141;
QRS;141;
фрагментарно кальцинированы у оснований полулуния аортального клапана;140;
МК уплотнены створки;139;
вероятно;139;
Межжелудочковая механическая задержка;137;
передней стенки ЛЖ;137;
НПВ не расширена;137;
не повышено;137;
обусловлена дисфункцией папиллярных мышц;136;
эксцентрическая гипертрофия ЛЖ;136;
СДЛА не определяется;135;
Значимой клапанной регургитации не выявлено;134;
Систолическое давление в легочной артерии не повышено ~;133;
Стенки его умеренно утолщены;133;
Митральная и трикуспидальная регургитация приклапанная;133;
Правые камеры расширены;132;
ТК и ПК не изменены;131;
фрагментарно кальцинированы;131;
Масса миокарда повышена;130;
QRSPulm;130;
ТрНедст;130;
Ритм синусовый ЧСС;129;
Остальные камеры не расширены;129;
Vper;129;
QRSAo;129;
Ортоградный кровоток на клапанах не нарушен;129;
ИММ ЛЖ повышен;128;
Псевдонормальный тип диастолической дисфункции ЛЖ;127;
мс норма до;127;
Глобальная сократимость ЛЖ сохранена EF по Simpson ~;126;
Систолическая функция ПЖ не нарушена TAVS;125;
Глобальная сократимость ЛЖ снижена EF по Simpson ~;125;
Миокард умеренно симметрично утолщен;125;
типу;125;
Диастолическая дисфункция ЛЖ по;124;
Аортальный клапан трехстворчатый;124;
Оценка межжелудочковой диссинхронии МЖД;124;
Ритм синусовый;122;
не расширена;122;
ЭХОКГ с тканевой допплерографией миокарда ЭХОКГ с ТДГ;121;
задней стенок ЛЖ;120;
концентрическая гипертрофия ЛЖ;119;
Легочная артерия легко расширена;118;
Масса миокарда и ИММ не повышены;117;
масса миокарда повышена;116;
остальные камеры сердца не увеличены;116;
Миокард левого желудочка незначительно утолщен;116;
зон локального нарушения сократимости убедительно не выявлено;114;
Миокард левого желудочка утолщен;113;
Перикард уплотнен;113;
см TAPSE – мм S – смс;112;
Легкая дилятация левого предсердия;110;
верхушкой сердца и правым предсердием менее;110;
Листки перикарда без особенностей;110;
Небольшая дилатация левого предсердия;110;
Нарушений локальной и глобальной сократимости ЛЖ не выявлено;110;
Аорта легко расширена в восходящем отделе;109;
Остальные полости сердца не расширены;109;
Перегородочная;109;
Нижняя;109;
Передняя;109;
Боковая;109;
ПЖ не расширен;108;
Расширен ствол легочной артерии;107;
Расчетное систолическое давление в легочной артерии нормальное;107;
Систолическое давление в ЛА повышено до;107;
нижней;106;
Аорта расширена в восходящем отделе;106;
зон нарушения сократимости;106;
Переднеперегородочная;106;
ритм ЭКС;105;
трикуспидального и пульмонального клапанов уплотнены;104;
ЛА не расширена;103;
количество жидкости в его полости не превышает физиологическое расхождение листков за задней и боковой стенкой ЛЖ;103;
Створки аортального и митрального клапанов уплотнены;103;
ТР;103;
Визуализация не оптимальная вследствие анатомоконституциональных особенностей пациента;103;
РСДЛА;103;
Короткий протокол с целью оценки ФВ;102;
гм ОТС –;102;
Снижение глобальной сократительной способности правого желудочка TAPSE;102;
МК без особенностей;101;
остальные полости не расширены;100;
Давление в легочной артерии по ТР легко повышено;100;
фрагментарно кальцинированы полулуния аортального клапана;99;
% за счет акинезии верхушки;98;
Склероз Ао;97;
Объем ЛЖ в диастолу — мл Объем ЛЖ в систолу — мл;97;
Фиброз МЖП;97;
фиброз МЖП;96;
Трк без особенностей;96;
МПП и МЖП лоцируются целостными;96;
Стенки Ао и Аополулуния уплотнены;95;
Перикард бо;94;
выпота нет;94;
передней;93;
Миокард ЛЖ не гипертрофирован индекс массы миокарда* ~;92;
Давление в легочной артерии по ТР не повышено;92;
МК створки уплотнены;92;
ЭКГ Син;92;
нижней стенки ЛЖ;92;
Эксцентрическая гипертрофия ЛЖ;91;
Расчетное систолическое давление в легочной артерии не определяется;91;
Мрегст;91;
АК не изменен;90;
см Объем ЛП — мл Размер ЛП;90;
правый желудочек не расширен;90;
Выраженная дилатация обоих предсердий;90;
Значительная дилатация левого предсердия;89;
створки аортального;89;
ПБЛНПГ;88;
индекс массы миокарда повышен;88;
Умеренная дилятация левого предсердия;87;
Систолическая функция ЛЖ сохранена;87;
Легко утолщена МЖП;87;
ТрРегст;87;
легкая дилатация правого предсердия;86;
Давление в лёгочной артерии не повышено;86;
МК не изменен;86;
Трёхстворчатый клапан не изменён;85;
Миокард ЛЖ легко утолщен;85;
TAVS;85;
Желудочки сердца не расширены;85;
трикуспидальная регургитация приклапанная;85;
Умеренная дилатация обоих предсердий;85;
Восходящий отдел аорты расширен;85;
Патологического шунтирования кровотока через МПП;84;
Врач Вахрамеева НВ;84;
Мнедст;84;
кальциноз кольца;84;
Тканевая допплерография в режиме TDI – оценка внутрижелудочковой диссинхронии ВЖД;84;
створки умеренно уплотнены регургитация;84;
Легкая дилатация правого предсердия;83;
Дилатация ЛП;83;
нижней стенки;82;
Допплер ЭХО КГ Митральная регургитация;82;
Приклапанная трикуспидальная регургитация;81;
МРегст;81;
Расчетное систолическое давление в ЛА;81;
квсм;80;
ФВ %;80;
аортальная регургитация;80;
Корень аорты не расширен;80;
Кровоток на клапанах;80;
створки Vmax;79;
обусловлена расширением кольца МК;79;
Полулуния аортального клапана не изменены;79;
Систолическое давление в легочной артерии повышено ~;79;
объём;79;
Тррегст;79;
Камеры сердца не увеличены;79;
жидкости в полости перикарда;78;
БПВЛНПГ;78;
Миокард незначительно утолщен;78;
Индекс массы миокарда — г м;78;
Визуализация не оптимальная;77;
Створки аортального клапана и митрального клапанов уплотнены;77;
дуга;77;
Глобальная сократительная функция ЛЖ не снижена ФВ Симпсон;76;
Левое предсердие не расширено;76;
передней стенки;76;
Нарушение расслабления ЛЖ;76;
Расчетное систолическое давление в легочной артерии;75;
ПР;75;
ЛЖ;75;
ЛГ ст;75;
верхушки ЛЖ;74;
Локальные нарушения сократимости не выявлены;73;
ПЖ;73;
Стенки ЛЖ утолщены концентрическая гипертрофия ЛЖ;72;
МЖП Sобразно изогнута;72;
створки умеренно уплотнены;72;
Концентрическая ГЛЖ;72;
стенки её уплотнены;71;
Визуализация затруднена;71;
Систолическая функция ЛЖ не нарушена;71;
Размер и объём левого предсердия не увеличены;70;
Легочная артерия не визуализирована;70;
сердечного цикла;70;
Трикуспидальная регургитация отсутствует;70;
с частотой;70;
Глобальная систолическая функция миокарда ЛЖ не снижена Simpson BP %;70;
ритм;70;
мм Hg;69;
Систолическая функция ПЖ не нарушена ТAVS;69;
Sm;69;
см TAPSE –;69;
МПП и МЖП прослеживаются на всем протяжении;69;
МПП аневризма;68;
Аортальный клапан створки уплотнены;68;
створки протез Vmax;68;
желудочки сердца не расширены;67;
регургитация отсутствует dPtr;67;
Миокард ЛЖ утолщен концентрическая ГЛЖ;67;
Eur J Echocardiography;67;
Крупные сосуды;67;
дистальных сегментов циркулярно;67;
ОТС ЛЖ;67;
PV – мс AV –;67;
Кровоток ускорен;67;
АР;67;
Давление в легочной артерии по ТР;66;
Приклапанная митральная регургитация;66;
правые камеры не расширены;66;
кгм Дата исследования;66;
Лёгочная артерия – см;66;
Локальных нарушений сократимости миокарда ЛЖ не выявлено;66;
Показатели сократительной способности ЛЖ сохранены;66;
BSA м Рост;66;
см кв;66;
Давление в легочной артерии;66;
Глобальная сократительная способность ЛЖ не нарушена;65;
стенки ее не изменены;65;
Размеры правого желудочка в пределах нормы;65;
НПВ расширена;65;
Левый желудочек расширен;65;
Длительность диастолы;64;
выраженный фиброз МЖП;64;
дисфункцией папиллярных мышц;64;
МЖП не выявлено;64;
боковой;64;
Глобальная сократимость миокарда ПЖ сохранена;63;
нижней стенок ЛЖ;63;
прПархоменко;63;
кг ИМТ;63;
мелкие кальцинаты в подклапанных структурах и хордах;63;
створки легко уплотнены регургитация;63;
Глобальная систолическая функция миокарда ЛЖ сохранена Simpson BP;63;
Стенки не утолщены;62;
подвижность их ограничена;62;
Короткий протокол исследования с целью оценки систолической функции ЛЖ   Глобальная сократительная функция ЛЖ не снижена;62;
Расширен ствол лёгочной артерии;62;
Створки АоК и МК уплотнены;62;
утолщены полулуния аортального клапана;62;
АоНедст;62;
Диастолическая дисфункция ЛЖ за счет нарушения релаксации;62;
Приклапанная аортальная регургитация;62;
Лёгкая концентрическая гипертрофия ЛЖ;62;
Выраженная эксцентрическая гипертрофия ЛЖ;62;
Левое предсердие не увеличено;61;
полулуния его уплотнены;61;
Индекс массы миокарда повышен;61;
Систолическая функция ПЖ снижена TAPSE;61;
начальный кальциноз кольца;61;
Систолическое давление в ЛА достоверно измерить не удалось;61;
Глобальная систолическая функция ЛЖ снижена за счет акинезии верхушки;60;
боковой стенок ЛЖ;60;
Легкая дилатация обоих предсердий;60;
Кровоток через аортальный клапан не нарушен;60;
затруднена вынужденным положением на спине;60;
Выносящий тракт ПЖ дистальный размер – см;60;
Створки МК уплотнены;59;
Масса миокарда и ИММ легко повышены;59;
Умеренная концентрическая гипертрофия ЛЖ;59;
Диастолическая дисфункция ЛЖ по типу нарушения расслабления;59;
Диастолическая дисфункция ЛЖ ригидный тип;59;
млкв м;58;
локального нарушения сократимости не выявлено;58;
Аортальные полулуния уплотнены;58;
Умеренная дилатация ЛП;58;
МР;58;
Ригидный тип диастолической дисфункции ЛЖ;58;
Кровоток легко ускорен;57;
СДЛА повышено;57;
дилатация ПП;57;
АоК и МК уплотнены;57;
Корень и восходящий отдел аорты не расширены;57;
д;57;
Оценка межжелудочковой диссинхронии МЖД QRSAo;57;
СДЛА незначительно повышено;57;
кальциноз заднего сегмента митрального кольца;57;
Выраженная дилатация предсердий;56;
Трнедст;56;
мс QRSPulm;56;
Расчетные показатели массы миокарда в пределах нормы;56;
Клапанный аппарат без особенностей;56;
вероятнее всего;56;
мс Межжелудочковая механическая задержка;56;
Нарушений локальной сократимости миокарда не выявлено;56;
Митральный и трёхстворчатый клапаны не изменены;56;
Незначительно расширено ЛП;56;
Глобальная сократительная функция ЛЖ не снижена ФВ %;56;
Кардиомегалия;56;
Миокард ЛЖ не гипертрофирован индекс массы миокарда* ~ г м;55;
Выраженная дилатация левого предсердия увеличен индекс объема;55;
Аорта расширена;55;
Глобальная сократительная функция ЛЖ легко снижена ФВ Симпсон;55;
мс SD;54;
зон локального нарушения сократимости не выявлено;54;
Врач Лясникова ЕА;54;
Ао и Аополулуния без особенностей;54;
Нарушения локальной сократимости не выявлено;54;
неравномерно утолщены;54;
стенки аорты уплотнены;54;
Систолическая функция ПЖ не нарушена;54;
Размер и объем левого предсердия не увеличены;53;
Задняя стенка;53;
ЛП;53;
аортальные полулуния уплотнены;53;
правые камеры сердца не расширены;53;
Дилатация ПП и ПЖ;53;
Давление в легочной артерии определить не удалось;53;
Левое предсердие нормальных размеров;52;
Кальциноз заднего сегмента митрального кольца;52;
средний градиент;52;
ЧСС ритм ЭКС;52;
без грубых изменений;52;
боковой стенки;52;
Легкая дилатация левого предсердия увеличен индекс объема;52;
степени нарушение релаксации;52;
желудочки сердца не увеличены;51;
Давление в легочной артерии по ТР повышено;51;
расчетные показатели массы миокарда повышены концентрическая ГЛЖ;51;
Глобальная сократимость ЛЖ не снижена EF BP;51;
ПП;51;
легкий аортальный стеноз;51;
Легко утолщен базальный сегмент МЖП;51;
Выраженная дилатация левого желудочка;51;
створки фрагментарно кальцинированы;51;
*структурные показатели и ИММ рассчитаны с учетом роста согласно рекомендациям EAE’;50;
Зон нарушений локальной сократимости не выявлено;50;
Масса миокарда и ИММ повышены;50;
Митральный клапан створки уплотнены;50;
ВААлмазова;50;
Глобальная систолическая функция миокарда ЛЖ не снижена Simpson BP;50;
Ао умеренно расширена в восхотделе;49;
Нарушений локальной сократимости не выявлено;49;
задней;49;
Умеренная дилатация правого предсердия;49;
Трикуспидальная регургитация I степени;49;
Глобальная систолическая функция ЛЖ умеренно снижена;49;
Аорта незначительно расширена в восходящем отделе;49;
умеренная дилатация правого предсердия;49;
Выраженная дилатация левых камер сердца;49;
норма%;49;
Зон нарушения сократимости не выявлено;49;
Умеренная дилатация ЛП индекс объема ЛП —;48;
дистальных сегментов МЖП;48;
Эксцентрическая ГЛЖ;48;
Глобальная сократимость сохранена;48;
см TAPSE – мм S' – смс;48;
Неполный протокол с целью оценки полости перикарда;48;
Расчетное систолическое давление в легочной артерии повышено до;48;
базального сегмента МЖП;47;
Глобальная систолическая функция ЛЖ на нижней границе нормы;47;
Допплер КГ Аортальная регургитация;47;
правого;47;
Расчетное систолическое давление в легочной артерии на верхней границе нормы;47;
Клапанный аппарат без грубых изменений;47;
Выраженная дилятация левого предсердия;47;
эксцентрическая гипертрофия миокарда ЛЖ;46;
Давление в легочной артерии повышено;46;
Умеренная дилатация левого предсердия увеличен индекс объема;46;
створки кальциноз Ve;46;
Клапаны;46;
Электроды ЭКС в правых камерах;46;
см TAVS;46;
Глобальная систолическая функция миокарда ЛЖ снижена Simpson BP;46;
см сепарация створок — см Восходящий отдел аорты — см;46;
Расчетное систолическое давление в ЛА не повышено;45;
боковой стенок;45;
Sобразный изгиб МЖП;45;
створки  уплотнены Vmax;45;
Концентрическая гипертрофия ЛЖ;45;
диастолической дисфункции;45;
текст;45;
Концентрическая гипертрофия миокарда ЛЖ ИММ;45;
Масса миокарда легко повышена;45;
Митральная регургитация I степени;45;
фиброзные изменения в миокарде межжелудочковой перегородки;44;
масса миокарда не увеличена;44;
АН;44;
млквм;44;
Диастолическая дисфункция;44;
дилатация ПП и ПЖ;44;
Визуализируется трехстворчатый Аоклапан;44;
Акинезия верхушки;44;
средний градиент –;44;
Глобальная систолическая функция ЛЖ легко снижена;44;
пульмональная регургитация приклапанная;44;
СДЛА;44;
Аортальная регургитация отсутствует;44;
ГЛЖ;44;
полулуния аортального клапана;44;
Миокард ЛЖ утолщен эксцентрическая ГЛЖ;43;
митрального клапанов легко уплотнены;43;
Концентрическое ремоделирование ЛЖ;43;
остальные полости сердца не расширены;43;
индекс КДО;43;
Кровоток на клапанах не нарушен;43;
Корень аорты расширен до;43;
кровоток ускорен;43;
Легочная артерия не визуализируется;43;
Скорость кровотока в ВТЛЖ в норме;43;
уплотнены;43;
умеренная;43;
Правые камеры сердца не расширены;43;
Створки аортального и митрального клапана уплотнены;42;
ТК;42;
Крови и Эндокринологии им;42;
степени Vper;42;
створки аортального и митрального клапанов уплотнены;42;
Легкая дилатация ЛП;42;
Створки аортального клапана и митрального клапана неравномерно уплотнены;42;
Визуализация затруднена в связи с вынужденным положением больного;42;
Допплер КГ аортальная ругургитация;42;
Глобальная систолическая функция ЛЖ не снижена EF BP;42;
МЖП боковая стенка;42;
степени клапанной регургитации;41;
гипокинезии МЖП;41;
Недостаточность МК;41;
Патологического шунтирования кровотока не лоцируется;41;
МН ст;41;
восходящая аорта;41;
мс МЖП боковая стенка;40;
концентрическая ГЛЖ;40;
Умеренная эксцентрическая гипертрофия ЛЖ;40;
Начальная дилатация левого предсердия;40;
Митральная недостаточность;40;
Федеральный Центр Сердца;40;
Лг ст;40;
Стенки ЛЖ легко утолщены концентрическая гипертрофия ЛЖ;40;
Остальные полости не расширены;40;
Умеренно уплотнены створки митрального клапана;40;
мм S –;40;
Дилатация обоих предсердий;39;
Легочный ствол легко расширен;39;
кальцинаты в подклапанных структурах и хордах;39;
Аорта расширена в области синусов Вальсальвы;39;
МЖП уплотнена;39;
перикард без особенностей;39;
Систолическая функция ПЖ легко снижена TAPSE;39;
Дилятация правого предсердия;39;
Диастолическая дисфункция ЛЖ не выявлена;39;
Глобальная систолическая функция миокарда ЛЖ снижена Simpson BP %;39;
Заключение см;39;
Легкий аортальный стеноз;39;
нижней стенок;39;
Исследование сфокусировано на оценке перикарда;39;
Нижняя полая вена расширена;38;
СДЛА в норме;38;
МЖП на всем протяжении;38;
Дилатация левого предсердия;38;
Глобальная систолическая функция ЛЖ умеренно снижена за счет акинезии верхушки;38;
Гипокинезия верхушки;38;
без существенной динамики;38;
АоК и МК;38;
Листки перикарда уплотнены;38;
Отчетливых нарушений локальной сократимости ЛЖ не выявлено;37;
задней стенки;37;
Стенки утолщены;37;
Трикуспидальный клапан расширение кольца;37;
Зон нарушения регионарной сократимости достоверно не выявлено;37;
Короткий протокол с целью оценки сократимости ЛЖ в динамике;37;
Масса миокарда ЛЖ повышена ИММ;37;
Сократимость миокарда не снижена;36;
Створки митрального клапана удлинены;36;
Нарушений локальной сократимости нет;36;
Выраженная дилатация правого предсердия;36;
Расхождение листков перикарда за правыми камерами;36;
Умеренная смешанная гипертрофия ЛЖ;36;
При CDI убедительных данных за наличие транссептального шунтирования крови не получено;36;
